PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
118,129,125,Yes,LIL DURK,Broadway Girls f/Morgan Wallen,Alamo,-,50,38,12,17,13,4,3,2,4,4,4,0.065,0.05,0.015,99,99,2,0,2,8.5,6.5,2,99,14,182,10,-,-,125,-,507,-,-,-,-,-,-,-,-
111,115,126,,LARRY FLEET,25-8,Big Loud,-,47,62,-15,9,12,-3,0,0,0,1,8,0.031,0.056,-0.025,124,94,1,0,1,9,12,-3,112,9,288,1,-,-,126,-,-,-,-,-,-,-,-,-,-
118,118,127,,TY HERNDON,How You Get To Heaven,Pivotal,-,46,55,-9,5,6,-1,0,0,1,2,2,0.063,0.064,-0.001,102,89,1,0,1,5,6,-1,134,5,217,3,-,-,127,-,-,-,-,-,-,-,-,-,-
47,535,128,Yes,ASHLEY COOKE & BRETT YOUNG,Never Til Now,Big Loud/Back Blocks/BMLG,6,41,2,39,10,1,9,1,0,0,0,9,0.021,0,0.021,141,334,8,7,8,1.3,0.1,1.1,109,9,505,0,-,-,128,-,-,-,-,-,-,-,-,-,-
90,109,129,,LUKE COMBS & MIRANDA LAMBERT,Outrunnin' Your Memory,River House/Columbia Nash,-,40,78,-38,8,15,-7,1,0,0,0,7,0.02,0.043,-0.023,143,104,7,0,7,1.1,2.1,-1,123,7,506,0,-,-,129,-,-,-,-,-,-,-,-,-,-
116,151,130,Yes,RANDALL KING,When My Baby's In Boots,Warner Nashville/WAR,-,38,25,13,6,4,2,1,0,2,2,1,0.06,0.047,0.013,105,101,1,0,1,6,4,2,137,5,204,4,-,-,130,-,-,-,-,-,-,-,-,-,-
56,213,131,Yes,BROOKS & DUNN,Brand New Man w/Luke Combs,Arista Nashville,-,37,10,27,10,3,7,2,3,2,2,1,0.051,0.013,0.038,111,161,5,4,5,2,0.6,1.4,119,8,194,7,-,-,131,-,-,-,-,-,-,-,-,-,-
99,150,132,Yes,CHRIS LANE,Stop Coming Over,Big Loud,-,35,26,9,7,6,1,0,0,0,0,7,0.018,0.012,0.006,156,173,7,1,7,1,0.9,0.1,125,7,507,0,-,-,132,-,-,-,-,-,-,-,-,-,-
80,141,133,Yes,ELLE KING,Tulsa,RCA/Columbia Nashville,-,35,35,0,11,11,0,3,1,3,2,2,0.04,0.027,0.013,116,119,1,0,1,11,11,0,117,8,196,6,-,-,133,-,-,-,-,-,-,-,-,-,-
88,-,134,Yes,CARRIE UNDERWOOD,Denim & Rhinestones,Capitol Nashville,-,35,0,35,7,0,7,0,0,0,0,7,0.018,0,0.018,157,537,7,7,7,1,0,1,126,7,508,0,-,-,134,-,-,-,-,-,-,-,-,-,-
